ลำดับ,จังหวัด,ภาค,Node,Region
1,กรุงเทพมหานคร,ภาคกลาง,N0,ภาคกลาง
2,นนทบุรี,ภาคกลาง,N6,ภาคกลาง
3,ปทุมธานี,ภาคกลาง,N6,ภาคกลาง
4,สมุทรปราการ,ภาคกลาง,N13,ภาคตะวันออก
5,สมุทรสาคร,ภาคกลาง,N5,ภาคตะวันตก
6,นครปฐม,ภาคกลาง,N5,ภาคตะวันตก
7,พระนครศรีอยุธยา,ภาคกลาง,N6,ภาคกลาง
8,อ่างทอง,ภาคกลาง,N6,ภาคกลาง
9,ลพบุรี,ภาคกลาง,N7,ภาคตะวันออก
10,สระบุรี,ภาคกลาง,N7,ภาคตะวันออก
11,สิงห์บุรี,ภาคกลาง,N6,ภาคกลาง
12,ชัยนาท,ภาคกลาง,N5,ภาคตะวันตก
13,สุพรรณบุรี,ภาคกลาง,N5,ภาคตะวันตก
14,กาญจนบุรี,ภาคกลาง,N8,ภาคตะวันตก
15,ราชบุรี,ภาคกลาง,N8,ภาคตะวันตก
16,สมุทรสงคราม,ภาคกลาง,N8,ภาคตะวันตก
17,เพชรบุรี,ภาคกลาง,N8,ภาคตะวันตก
18,ประจวบคีรีขันธ์,ภาคกลาง,N8,ภาคตะวันตก
19,นครนายก,ภาคกลาง,N7,ภาคตะวันออก
20,นครสวรรค์,ภาคกลาง,N4,ภาคเหนือ
21,อุทัยธานี,ภาคกลาง,N4,ภาคเหนือ
22,ชลบุรี,ภาคตะวันออก,N13,ภาคตะวันออก
23,ระยอง,ภาคตะวันออก,N13,ภาคตะวันออก
24,จันทบุรี,ภาคตะวันออก,N13,ภาคตะวันออก
25,ตราด,ภาคตะวันออก,N13,ภาคตะวันออก
26,ฉะเชิงเทรา,ภาคตะวันออก,N13,ภาคตะวันออก
27,ปราจีนบุรี,ภาคตะวันออก,N7,ภาคตะวันออก
28,สระแก้ว,ภาคตะวันออก,N7,ภาคตะวันออก
29,นครราชสีมา,ภาคตะวันออกเฉียงเหนือ,N11,ภาคตะวันออกเฉียงเหนือ
30,บุรีรัมย์,ภาคตะวันออกเฉียงเหนือ,N11,ภาคตะวันออกเฉียงเหนือ
31,สุรินทร์,ภาคตะวันออกเฉียงเหนือ,N11,ภาคตะวันออกเฉียงเหนือ
32,ศรีสะเกษ,ภาคตะวันออกเฉียงเหนือ,N12,ภาคตะวันออกเฉียงเหนือ
33,อุบลราชธานี,ภาคตะวันออกเฉียงเหนือ,N12,ภาคตะวันออกเฉียงเหนือ
34,ยโสธร,ภาคตะวันออกเฉียงเหนือ,N12,ภาคตะวันออกเฉียงเหนือ
35,ชัยภูมิ,ภาคตะวันออกเฉียงเหนือ,N11,ภาคตะวันออกเฉียงเหนือ
36,อำนาจเจริญ,ภาคตะวันออกเฉียงเหนือ,N12,ภาคตะวันออกเฉียงเหนือ
37,หนองบัวลำภู,ภาคตะวันออกเฉียงเหนือ,N10,ภาคตะวันออกเฉียงเหนือ
38,ขอนแก่น,ภาคตะวันออกเฉียงเหนือ,N10,ภาคตะวันออกเฉียงเหนือ
39,อุดรธานี,ภาคตะวันออกเฉียงเหนือ,N9,ภาคตะวันออกเฉียงเหนือ
40,เลย,ภาคตะวันออกเฉียงเหนือ,N9,ภาคตะวันออกเฉียงเหนือ
41,หนองคาย,ภาคตะวันออกเฉียงเหนือ,N9,ภาคตะวันออกเฉียงเหนือ
42,มหาสารคาม,ภาคตะวันออกเฉียงเหนือ,N10,ภาคตะวันออกเฉียงเหนือ
43,ร้อยเอ็ด,ภาคตะวันออกเฉียงเหนือ,N10,ภาคตะวันออกเฉียงเหนือ
44,กาฬสินธุ์,ภาคตะวันออกเฉียงเหนือ,N10,ภาคตะวันออกเฉียงเหนือ
45,สกลนคร,ภาคตะวันออกเฉียงเหนือ,N9,ภาคตะวันออกเฉียงเหนือ
46,นครพนม,ภาคตะวันออกเฉียงเหนือ,N9,ภาคตะวันออกเฉียงเหนือ
47,มุกดาหาร,ภาคตะวันออกเฉียงเหนือ,N12,ภาคตะวันออกเฉียงเหนือ
48,บึงกาฬ,ภาคตะวันออกเฉียงเหนือ,N9,ภาคตะวันออกเฉียงเหนือ
49,เชียงใหม่,ภาคเหนือ,N1,ภาคเหนือ
